STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280229,39,-28
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280301,22,-67
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280302,56,-39
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280303,28,-94
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280304,50,-89
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280305,-22,-133
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280306,33,-56
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280307,61,-22
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280308,56,-22
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280309,39,-28
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280310,6,-22
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280311,67,-11
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280312,178,0
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280313,128,11
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280314,56,-11
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280315,22,-33
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280316,-6,-33
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280317,-6,-28
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280318,28,-33
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280319,61,-33
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280320,61,-22
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280321,128,-17
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280322,167,28
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280323,250,6
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280324,233,100
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280325,217,117
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280326,139,-56
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280327,-6,-78
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280328,33,-33
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280329,17,-11
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280330,22,-28
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280331,89,-33
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280401,156,17
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280402,217,50
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280403,233,144
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280404,189,144
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280405,167,61
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280406,178,39
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280407,117,-28
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280408,17,-33
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280409,22,-56
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280410,89,-28
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280411,128,0
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280412,133,22
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280413,117,6
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280414,61,-39
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280415,11,-61
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280416,111,-22
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280417,78,17
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280418,200,11
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280419,72,6
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280420,67,-6
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280421,83,39
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280422,94,11
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280423,122,0
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280424,83,-6
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280425,83,0
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280426,106,-17
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280427,72,-22
GHCND:USC00111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,19280428,178,-11
