STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400101,-28,-56
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400102,-28,-89
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400103,-6,-94
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400104,28,-39
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400105,-17,-94
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400106,11,-89
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400107,11,-17
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400108,-17,-72
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400109,50,-94
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400110,72,17
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400111,106,72
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400112,100,22
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400113,156,17
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400114,156,-11
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400115,61,-28
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400116,100,-33
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400117,106,-33
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400118,-33,-150
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400119,-89,-178
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400120,-17,-106
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400121,-17,-117
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400122,-39,-94
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400123,-17,-72
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400124,-39,-139
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400125,-72,-189
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400126,-67,-189
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400127,-28,-183
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400128,17,-183
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400129,44,-28
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400130,0,-61
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400131,50,-83
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400201,106,-56
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400202,50,-33
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400203,56,-44
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400204,50,11
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400205,56,28
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400206,39,11
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400207,56,6
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400208,172,11
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400209,111,28
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400210,28,-6
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400211,156,-6
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400212,144,89
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400213,139,0
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400214,83,-33
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400215,122,-6
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400216,133,50
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400217,83,50
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400218,67,28
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400219,39,17
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400220,44,17
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400221,28,-11
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400222,50,-22
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400223,61,-22
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400224,78,-6
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400225,44,-22
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400226,128,-22
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400227,161,67
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400228,211,11
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400229,189,22
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400301,244,89
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400302,244,111
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400303,111,67
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400304,94,28
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400305,117,22
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400306,161,0
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400307,89,11
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400308,94,-11
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400309,139,-28
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400310,200,72
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400311,122,89
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400312,239,94
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400313,156,17
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400314,78,-11
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400315,161,-22
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400316,228,89
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400317,217,89
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400318,183,78
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400319,172,22
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400320,161,39
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400321,211,39
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400322,117,44
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400323,106,44
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400324,44,-28
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400325,44,-39
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400326,172,-17
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400327,222,94
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400328,228,133
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400329,189,144
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400330,228,128
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400331,267,139
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400401,283,150
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400402,267,167
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400403,300,206
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400404,272,167
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400405,167,94
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400406,156,78
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400407,178,83
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400408,133,78
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400409,183,39
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400410,211,61
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400411,189,28
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400412,67,0
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400413,144,-6
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400414,244,61
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400415,244,133
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400416,261,178
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400417,250,167
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400418,194,72
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400419,94,61
GHCND:USW00013893,MEMPHIS INTERNATIONAL AIRPORT TN US,19400420,178,56
