STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USW00092811,MIAMI BEACH FL US,19270105,261,-9999
GHCND:USW00092811,MIAMI BEACH FL US,19270106,239,-9999
GHCND:USW00092811,MIAMI BEACH FL US,19270107,250,-9999
GHCND:USW00092811,MIAMI BEACH FL US,19270108,272,-9999
GHCND:USW00092811,MIAMI BEACH FL US,19270109,272,233
GHCND:USW00092811,MIAMI BEACH FL US,19270110,272,183
GHCND:USW00092811,MIAMI BEACH FL US,19270111,106,83
GHCND:USW00092811,MIAMI BEACH FL US,19270112,111,33
GHCND:USW00092811,MIAMI BEACH FL US,19270113,244,189
GHCND:USW00092811,MIAMI BEACH FL US,19270114,244,183
GHCND:USW00092811,MIAMI BEACH FL US,19270115,206,139
GHCND:USW00092811,MIAMI BEACH FL US,19270116,194,44
GHCND:USW00092811,MIAMI BEACH FL US,19270117,228,156
GHCND:USW00092811,MIAMI BEACH FL US,19270118,239,206
GHCND:USW00092811,MIAMI BEACH FL US,19270119,239,211
GHCND:USW00092811,MIAMI BEACH FL US,19270120,239,211
GHCND:USW00092811,MIAMI BEACH FL US,19270121,250,217
GHCND:USW00092811,MIAMI BEACH FL US,19270122,250,-9999
GHCND:USW00092811,MIAMI BEACH FL US,19270123,261,-9999
GHCND:USW00092811,MIAMI BEACH FL US,19270124,261,-9999
GHCND:USW00092811,MIAMI BEACH FL US,19270125,261,-9999
GHCND:USW00092811,MIAMI BEACH FL US,19270126,261,-9999
GHCND:USW00092811,MIAMI BEACH FL US,19270127,244,-9999
GHCND:USW00092811,MIAMI BEACH FL US,19270128,250,-9999
GHCND:USW00092811,MIAMI BEACH FL US,19270129,250,161
GHCND:USW00092811,MIAMI BEACH FL US,19270130,239,217
GHCND:USW00092811,MIAMI BEACH FL US,19270131,250,217
GHCND:USW00092811,MIAMI BEACH FL US,19270201,244,217
GHCND:USW00092811,MIAMI BEACH FL US,19270202,244,211
GHCND:USW00092811,MIAMI BEACH FL US,19270203,239,222
GHCND:USW00092811,MIAMI BEACH FL US,19270204,244,217
GHCND:USW00092811,MIAMI BEACH FL US,19270205,233,217
GHCND:USW00092811,MIAMI BEACH FL US,19270206,239,217
GHCND:USW00092811,MIAMI BEACH FL US,19270207,244,222
GHCND:USW00092811,MIAMI BEACH FL US,19270208,244,222
GHCND:USW00092811,MIAMI BEACH FL US,19270209,250,222
GHCND:USW00092811,MIAMI BEACH FL US,19270210,250,200
GHCND:USW00092811,MIAMI BEACH FL US,19270211,233,167
GHCND:USW00092811,MIAMI BEACH FL US,19270212,256,233
GHCND:USW00092811,MIAMI BEACH FL US,19270213,256,233
GHCND:USW00092811,MIAMI BEACH FL US,19270214,256,233
GHCND:USW00092811,MIAMI BEACH FL US,19270215,256,222
GHCND:USW00092811,MIAMI BEACH FL US,19270216,267,206
GHCND:USW00092811,MIAMI BEACH FL US,19270217,267,222
GHCND:USW00092811,MIAMI BEACH FL US,19270218,256,233
