STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681201,128,94
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681202,150,28
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681203,194,17
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681204,167,28
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681205,183,39
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681206,178,67
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681207,139,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681208,150,83
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681209,167,100
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681210,183,100
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681211,128,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681212,144,22
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681213,167,50
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681214,133,83
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681215,156,78
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681216,122,39
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681217,128,28
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681218,117,22
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681219,111,44
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681220,94,11
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681221,106,0
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681222,100,22
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681223,128,72
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681224,161,78
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681225,133,83
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681226,111,61
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681227,111,44
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681228,150,72
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681229,122,67
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681230,167,17
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19681231,172,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690101,206,67
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690102,194,33
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690103,161,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690104,200,89
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690105,206,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690106,167,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690107,111,50
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690108,139,61
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690109,117,39
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690110,117,17
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690111,117,72
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690112,156,83
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690113,167,117
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690114,128,89
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690115,122,33
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690116,117,50
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690117,139,39
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690118,167,89
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690119,172,150
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690120,183,144
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690121,156,117
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690122,122,44
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690123,94,28
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690124,156,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690125,178,139
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690126,161,67
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690127,111,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690128,83,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690129,100,11
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690130,106,50
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690131,100,11
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690201,122,44
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690202,156,44
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690203,178,11
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690204,133,39
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690205,122,78
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690206,128,78
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690207,122,61
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690208,144,39
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690209,172,106
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690210,172,83
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690211,150,106
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690212,117,67
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690213,122,44
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690214,144,89
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690215,150,117
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690216,150,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690217,144,56
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690218,128,78
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690219,117,78
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690220,111,78
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690221,122,44
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690222,117,50
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690223,111,72
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690224,128,78
GHCND:USW00023259,MONTEREY PENINSUL AIRPORT CA US,19690225,122,56
