STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00448737,VIENNA VA US,19481004,144,67
GHCND:USC00448737,VIENNA VA US,19481005,117,83
GHCND:USC00448737,VIENNA VA US,19481006,144,67
GHCND:USC00448737,VIENNA VA US,19481007,167,122
GHCND:USC00448737,VIENNA VA US,19481008,167,150
GHCND:USC00448737,VIENNA VA US,19481009,183,94
GHCND:USC00448737,VIENNA VA US,19481010,222,117
GHCND:USC00448737,VIENNA VA US,19481011,183,156
GHCND:USC00448737,VIENNA VA US,19481012,189,133
GHCND:USC00448737,VIENNA VA US,19481013,178,100
GHCND:USC00448737,VIENNA VA US,19481014,150,83
GHCND:USC00448737,VIENNA VA US,19481015,161,72
GHCND:USC00448737,VIENNA VA US,19481016,183,28
GHCND:USC00448737,VIENNA VA US,19481017,228,111
GHCND:USC00448737,VIENNA VA US,19481018,206,33
GHCND:USC00448737,VIENNA VA US,19481019,128,11
GHCND:USC00448737,VIENNA VA US,19481020,117,56
GHCND:USC00448737,VIENNA VA US,19481021,117,22
GHCND:USC00448737,VIENNA VA US,19481022,117,56
GHCND:USC00448737,VIENNA VA US,19481023,133,94
GHCND:USC00448737,VIENNA VA US,19481024,161,89
GHCND:USC00448737,VIENNA VA US,19481025,172,106
GHCND:USC00448737,VIENNA VA US,19481026,178,78
GHCND:USC00448737,VIENNA VA US,19481027,194,89
GHCND:USC00448737,VIENNA VA US,19481028,183,89
GHCND:USC00448737,VIENNA VA US,19481029,194,100
GHCND:USC00448737,VIENNA VA US,19481030,178,78
GHCND:USC00448737,VIENNA VA US,19481031,178,94
GHCND:USC00448737,VIENNA VA US,19481101,200,133
GHCND:USC00448737,VIENNA VA US,19481102,156,122
GHCND:USC00448737,VIENNA VA US,19481103,139,83
GHCND:USC00448737,VIENNA VA US,19481104,211,144
GHCND:USC00448737,VIENNA VA US,19481105,222,167
GHCND:USC00448737,VIENNA VA US,19481106,239,200
GHCND:USC00448737,VIENNA VA US,19481107,217,106
GHCND:USC00448737,VIENNA VA US,19481108,161,72
GHCND:USC00448737,VIENNA VA US,19481109,156,78
GHCND:USC00448737,VIENNA VA US,19481110,217,78
GHCND:USC00448737,VIENNA VA US,19481111,117,22
GHCND:USC00448737,VIENNA VA US,19481112,133,44
GHCND:USC00448737,VIENNA VA US,19481113,167,78
GHCND:USC00448737,VIENNA VA US,19481114,111,44
GHCND:USC00448737,VIENNA VA US,19481115,139,44
GHCND:USC00448737,VIENNA VA US,19481116,150,28
GHCND:USC00448737,VIENNA VA US,19481117,172,89
GHCND:USC00448737,VIENNA VA US,19481118,156,78
GHCND:USC00448737,VIENNA VA US,19481119,183,89
GHCND:USC00448737,VIENNA VA US,19481120,206,117
GHCND:USC00448737,VIENNA VA US,19481121,156,56
GHCND:USC00448737,VIENNA VA US,19481122,106,78
GHCND:USC00448737,VIENNA VA US,19481123,117,61
GHCND:USC00448737,VIENNA VA US,19481124,100,44
GHCND:USC00448737,VIENNA VA US,19481125,100,44
GHCND:USC00448737,VIENNA VA US,19481126,133,39
GHCND:USC00448737,VIENNA VA US,19481127,161,100
GHCND:USC00448737,VIENNA VA US,19481128,111,0
GHCND:USC00448737,VIENNA VA US,19481129,44,22
GHCND:USC00448737,VIENNA VA US,19481130,89,-6
GHCND:USC00448737,VIENNA VA US,19481201,111,-6
GHCND:USC00448737,VIENNA VA US,19481202,94,0
GHCND:USC00448737,VIENNA VA US,19481203,83,67
GHCND:USC00448737,VIENNA VA US,19481204,156,44
GHCND:USC00448737,VIENNA VA US,19481205,144,44
GHCND:USC00448737,VIENNA VA US,19481206,144,89
GHCND:USC00448737,VIENNA VA US,19481207,128,44
GHCND:USC00448737,VIENNA VA US,19481208,128,56
GHCND:USC00448737,VIENNA VA US,19481209,56,0
GHCND:USC00448737,VIENNA VA US,19481210,44,-11
GHCND:USC00448737,VIENNA VA US,19481211,56,-33
GHCND:USC00448737,VIENNA VA US,19481212,117,11
GHCND:USC00448737,VIENNA VA US,19481213,178,89
GHCND:USC00448737,VIENNA VA US,19481214,156,100
GHCND:USC00448737,VIENNA VA US,19481215,111,11
GHCND:USC00448737,VIENNA VA US,19481216,56,28
GHCND:USC00448737,VIENNA VA US,19481217,100,33
GHCND:USC00448737,VIENNA VA US,19481218,72,0
GHCND:USC00448737,VIENNA VA US,19481219,22,-33
GHCND:USC00448737,VIENNA VA US,19481220,28,-22
GHCND:USC00448737,VIENNA VA US,19481221,94,-11
GHCND:USC00448737,VIENNA VA US,19481222,89,39
GHCND:USC00448737,VIENNA VA US,19481223,50,11
GHCND:USC00448737,VIENNA VA US,19481224,39,-11
GHCND:USC00448737,VIENNA VA US,19481225,0,-61
GHCND:USC00448737,VIENNA VA US,19481226,-33,-106
GHCND:USC00448737,VIENNA VA US,19481227,28,-94
GHCND:USC00448737,VIENNA VA US,19481228,78,-22
GHCND:USC00448737,VIENNA VA US,19481229,122,28
GHCND:USC00448737,VIENNA VA US,19481230,128,39
GHCND:USC00448737,VIENNA VA US,19481231,33,-11
GHCND:USC00448737,VIENNA VA US,19490101,61,6
GHCND:USC00448737,VIENNA VA US,19490102,50,-22
GHCND:USC00448737,VIENNA VA US,19490103,89,-22
GHCND:USC00448737,VIENNA VA US,19490104,67,11
GHCND:USC00448737,VIENNA VA US,19490105,83,44
GHCND:USC00448737,VIENNA VA US,19490106,128,56
GHCND:USC00448737,VIENNA VA US,19490107,133,17
GHCND:USC00448737,VIENNA VA US,19490108,172,61
GHCND:USC00448737,VIENNA VA US,19490109,156,72
GHCND:USC00448737,VIENNA VA US,19490110,144,56
GHCND:USC00448737,VIENNA VA US,19490111,128,56
GHCND:USC00448737,VIENNA VA US,19490112,61,0
GHCND:USC00448737,VIENNA VA US,19490113,72,0
GHCND:USC00448737,VIENNA VA US,19490114,100,17
GHCND:USC00448737,VIENNA VA US,19490115,61,-11
GHCND:USC00448737,VIENNA VA US,19490116,156,6
GHCND:USC00448737,VIENNA VA US,19490117,156,83
GHCND:USC00448737,VIENNA VA US,19490118,100,56
GHCND:USC00448737,VIENNA VA US,19490119,156,56
GHCND:USC00448737,VIENNA VA US,19490120,94,50
GHCND:USC00448737,VIENNA VA US,19490121,28,-17
GHCND:USC00448737,VIENNA VA US,19490122,117,17
GHCND:USC00448737,VIENNA VA US,19490123,61,22
GHCND:USC00448737,VIENNA VA US,19490124,128,17
GHCND:USC00448737,VIENNA VA US,19490125,139,89
GHCND:USC00448737,VIENNA VA US,19490126,83,39
GHCND:USC00448737,VIENNA VA US,19490127,72,44
GHCND:USC00448737,VIENNA VA US,19490128,194,44
GHCND:USC00448737,VIENNA VA US,19490129,144,6
GHCND:USC00448737,VIENNA VA US,19490130,6,-89
GHCND:USC00448737,VIENNA VA US,19490131,11,-56
GHCND:USC00448737,VIENNA VA US,19490201,22,-17
GHCND:USC00448737,VIENNA VA US,19490202,33,-50
GHCND:USC00448737,VIENNA VA US,19490203,61,-50
GHCND:USC00448737,VIENNA VA US,19490204,89,22
GHCND:USC00448737,VIENNA VA US,19490205,72,28
GHCND:USC00448737,VIENNA VA US,19490206,67,-11
GHCND:USC00448737,VIENNA VA US,19490207,139,28
GHCND:USC00448737,VIENNA VA US,19490208,128,-6
GHCND:USC00448737,VIENNA VA US,19490209,189,78
GHCND:USC00448737,VIENNA VA US,19490210,100,0
GHCND:USC00448737,VIENNA VA US,19490211,11,-33
GHCND:USC00448737,VIENNA VA US,19490212,94,-33
GHCND:USC00448737,VIENNA VA US,19490213,194,56
GHCND:USC00448737,VIENNA VA US,19490214,189,133
GHCND:USC00448737,VIENNA VA US,19490215,239,128
GHCND:USC00448737,VIENNA VA US,19490216,178,56
GHCND:USC00448737,VIENNA VA US,19490217,72,6
GHCND:USC00448737,VIENNA VA US,19490218,111,-11
GHCND:USC00448737,VIENNA VA US,19490219,128,56
GHCND:USC00448737,VIENNA VA US,19490220,172,111
GHCND:USC00448737,VIENNA VA US,19490221,139,22
GHCND:USC00448737,VIENNA VA US,19490222,89,33
GHCND:USC00448737,VIENNA VA US,19490223,111,78
GHCND:USC00448737,VIENNA VA US,19490224,128,22
GHCND:USC00448737,VIENNA VA US,19490225,150,56
GHCND:USC00448737,VIENNA VA US,19490226,67,0
GHCND:USC00448737,VIENNA VA US,19490227,72,-11
GHCND:USC00448737,VIENNA VA US,19490228,44,-33
GHCND:USC00448737,VIENNA VA US,19951201,61,-11
GHCND:USC00448737,VIENNA VA US,19951202,178,39
GHCND:USC00448737,VIENNA VA US,19951203,94,-6
GHCND:USC00448737,VIENNA VA US,19951204,172,50
GHCND:USC00448737,VIENNA VA US,19951205,172,-22
GHCND:USC00448737,VIENNA VA US,19951206,67,11
GHCND:USC00448737,VIENNA VA US,19951207,39,6
GHCND:USC00448737,VIENNA VA US,19951208,61,-61
GHCND:USC00448737,VIENNA VA US,19951209,39,-28
GHCND:USC00448737,VIENNA VA US,19951210,0,-100
GHCND:USC00448737,VIENNA VA US,19951211,-39,-94
GHCND:USC00448737,VIENNA VA US,19951212,-33,-100
GHCND:USC00448737,VIENNA VA US,19951213,-11,-39
GHCND:USC00448737,VIENNA VA US,19951214,-11,-33
GHCND:USC00448737,VIENNA VA US,19951215,122,-17
GHCND:USC00448737,VIENNA VA US,19951216,178,28
GHCND:USC00448737,VIENNA VA US,19951217,94,-22
